,bath,bhk,building_status,rate_persqft,area _insqft,location,property_type,construction_status,price
98,2,2,1,2136,1100,Adibatla,1,0,23.5
99,2,2,1,2200,1126,Adibatla,1,0,24.77
100,2,2,1,2200,1128,Adibatla,1,0,24.82
101,2,2,1,2200,1129,Adibatla,1,0,24.84
102,2,2,1,2200,1131,Adibatla,1,0,24.88
103,2,2,1,2200,1132,Adibatla,1,0,24.9
104,2,2,1,2192,1140,Adibatla,1,1,24.99
105,2,2,1,2122,1140,Adibatla,1,0,24.19
106,2,2,1,2200,1009,Adibatla,1,0,22.2
107,2,2,1,2000,1000,Adibatla,1,0,20.0
108,2,2,1,2200,1110,Adibatla,1,0,24.42
109,2,2,1,2200,1010,Adibatla,1,0,22.22
110,2,2,1,2333,1200,Adibatla,1,1,28.0
111,2,2,1,2192,1140,Adibatla,1,0,24.99
112,2,2,1,2200,1000,Adibatla,1,0,22.0
113,2,2,1,2192,1140,Adibatla,1,1,24.99
114,2,2,1,2192,1140,Adibatla,1,1,24.99
115,2,2,1,2095,1050,Adibatla,1,1,22.0
118,3,3,1,2564,1560,Adibatla,1,0,40.0
121,3,3,1,2402,1665,Adibatla,1,0,39.99
124,3,3,1,2192,1140,Adibatla,1,0,24.99
125,2,3,1,2200,1301,Adibatla,1,0,28.62
126,3,3,1,2200,1369,Adibatla,1,0,30.12
127,2,3,1,2200,1404,Adibatla,1,0,30.89
128,3,3,1,2200,1403,Adibatla,1,0,30.87
129,3,3,1,2200,1400,Adibatla,1,0,30.8
130,3,3,0,2315,1140,Adibatla,1,1,26.39
131,3,3,1,2200,1500,Adibatla,1,0,33.0
132,2,3,1,2200,1400,Adibatla,1,0,30.8
133,3,3,1,2281,1885,Adibatla,1,0,43.0
135,2,3,1,2200,1360,Adibatla,1,0,29.92
136,2,3,1,2200,1402,Adibatla,1,0,30.84
137,2,3,1,2200,1401,Adibatla,1,0,30.82
138,3,3,1,2200,1350,Adibatla,1,0,29.7
139,3,3,1,2200,1407,Adibatla,1,0,30.95
140,3,3,1,2200,1400,Adibatla,1,0,30.8
141,3,3,1,2199,1404,Adibatla,1,0,30.87
142,3,3,1,2200,1408,Adibatla,1,0,30.98
143,3,3,1,2200,1406,Adibatla,1,0,30.93
144,3,3,1,2200,1405,Adibatla,1,0,30.91
145,2,3,1,2200,1403,Adibatla,1,0,30.87
146,2,3,1,2200,1402,Adibatla,1,0,30.84
149,3,3,1,2800,1650,Adibatla,1,0,46.2
151,3,3,1,2324,1140,Adibatla,1,1,26.49
154,3,3,1,2192,1140,Adibatla,1,0,24.99
156,3,3,1,2200,1501,Adibatla,1,0,33.02
157,2,3,1,2200,1200,Adibatla,1,0,26.4
158,3,3,1,2200,1665,Adibatla,1,1,36.63
159,3,3,1,2315,1140,Adibatla,1,1,26.39
160,3,3,1,2315,1140,Adibatla,1,1,26.39
161,3,3,0,2324,1140,Adibatla,1,1,26.49
162,1,1,1,2878,660,Bachupally,1,0,18.99
163,1,1,0,3481,675,Bachupally,1,1,23.5
164,1,1,1,3722,806,Bachupally,1,0,30.0
165,2,1,0,3380,1124,Bachupally,1,1,37.99
166,1,1,1,3000,650,Bachupally,1,0,19.5
167,1,1,1,3000,650,Bachupally,1,0,19.5
168,2,1,1,2406,1205,Bachupally,1,0,28.99
169,1,1,1,3833,600,Bachupally,1,1,23.0
170,1,1,1,3750,800,Bachupally,1,1,30.0
171,2,1,0,3800,1175,Bachupally,1,0,44.65
172,1,1,1,3150,650,Bachupally,1,0,20.48
173,1,1,1,3278,610,Bachupally,1,0,20.0
174,2,1,0,3281,1135,Bachupally,1,1,37.24
175,2,2,1,4285,1400,Bachupally,1,1,59.99
176,2,2,1,4213,1590,Bachupally,1,1,66.99
177,2,2,1,4461,1300,Bachupally,1,1,57.99
178,2,2,1,5369,830,Bachupally,1,0,44.56
179,2,2,0,3451,1075,Bachupally,1,1,37.1
180,2,2,0,4541,1145,Bachupally,1,1,51.99
183,2,2,1,4471,1230,Bachupally,1,1,54.99
184,2,2,1,4541,1211,Bachupally,1,1,54.99
186,3,2,1,4499,2545,Bachupally,3,0,114.5
188,2,2,1,4471,1230,Bachupally,1,1,54.99
189,2,2,0,3600,1175,Bachupally,1,0,42.3
190,2,2,0,5217,1150,Bachupally,1,0,60.0
193,3,2,1,3833,1200,Bachupally,1,1,46.0
194,2,2,1,3500,1050,Bachupally,1,1,36.75
195,2,2,1,4541,1145,Bachupally,1,1,51.99
196,2,2,1,3500,1025,Bachupally,1,1,35.88
197,2,2,1,3600,1120,Bachupally,1,0,40.32
198,2,2,1,4761,1575,Bachupally,1,0,74.99
199,2,2,1,4608,1150,Bachupally,1,1,52.99
200,2,2,1,5120,1250,Bachupally,1,1,64.0
201,2,2,0,4471,1230,Bachupally,1,1,54.99
202,2,2,1,3565,1150,Bachupally,1,1,41.0
203,2,2,1,4454,1100,Bachupally,1,1,48.99
204,2,2,1,3700,1000,Bachupally,1,1,37.0
205,2,2,1,3591,1120,Bachupally,1,0,40.22
206,2,2,1,4173,1150,Bachupally,1,0,47.99
209,2,2,1,3900,819,Bachupally,1,0,31.94
210,2,2,1,3900,1008,Bachupally,1,0,39.31
211,2,2,1,3900,1152,Bachupally,1,0,44.93
212,2,2,1,4033,1190,Bachupally,1,0,47.99
213,2,2,1,3600,1155,Bachupally,1,0,41.58
214,2,2,1,4000,1250,Bachupally,1,1,50.0
216,2,2,1,5084,1180,Bachupally,1,1,59.99
219,2,2,1,5150,1165,Bachupally,1,1,60.0
220,2,2,1,5064,1165,Bachupally,1,1,59.0
221,2,2,1,3515,1280,Bachupally,1,1,44.99
222,2,2,1,3500,1300,Bachupally,1,1,45.5
223,2,2,1,3500,1200,Bachupally,1,1,42.0
226,3,2,1,3750,1240,Bachupally,1,1,46.5
227,2,2,1,3859,1140,Bachupally,1,0,43.99
229,2,2,0,3627,1075,Bachupally,1,1,38.99
230,2,2,1,3500,1265,Bachupally,1,1,44.28
231,2,2,1,3500,1500,Bachupally,1,1,52.5
232,2,2,1,4435,1240,Bachupally,1,1,54.99
233,2,2,1,3500,1400,Bachupally,1,1,49.0
234,2,2,1,4424,1130,Bachupally,1,1,49.99
235,2,2,1,4892,1165,Bachupally,1,1,56.99
236,2,2,1,3945,1166,Bachupally,1,1,46.0
237,2,2,1,4573,1290,Bachupally,1,0,58.99
238,2,2,1,3890,1050,Bachupally,1,1,40.84
240,2,2,1,3707,1025,Bachupally,1,1,38.0
241,2,2,1,3913,1150,Bachupally,1,1,45.0
242,2,2,0,3600,1155,Bachupally,1,0,41.58
243,2,2,1,4416,1268,Bachupally,1,1,55.99
245,2,2,1,3900,837,Bachupally,1,0,32.64
246,2,2,1,3840,1250,Bachupally,1,1,48.0
248,2,2,1,4700,1240,Bachupally,1,0,58.28
249,2,2,1,3399,1008,Bachupally,1,0,34.26
250,2,2,1,3399,1008,Bachupally,1,1,34.26
251,2,2,1,3800,1250,Bachupally,1,1,47.5
252,2,2,1,3913,1150,Bachupally,1,0,45.0
253,2,2,1,4258,1550,Bachupally,1,1,66.0
254,2,2,1,3500,1100,Bachupally,1,1,38.5
255,2,2,1,3800,1175,Bachupally,1,1,44.65
256,2,2,1,4344,1450,Bachupally,1,1,62.99
257,2,2,1,4230,1560,Bachupally,1,1,65.99
258,2,2,1,3354,1115,Bachupally,1,1,37.4
259,2,2,1,3800,1120,Bachupally,1,0,42.56
260,2,2,1,3700,1280,Bachupally,1,1,47.36
261,2,2,1,3700,1280,Bachupally,1,1,47.36
262,2,2,1,4482,1160,Bachupally,1,1,51.99
263,2,2,0,4285,1400,Bachupally,1,1,59.99
264,2,2,0,4454,1100,Bachupally,1,1,48.99
265,2,2,1,4360,1330,Bachupally,1,1,57.99
266,2,2,1,5800,1155,Bachupally,1,1,66.99
267,2,2,1,4956,1150,Bachupally,1,1,56.99
268,2,2,1,3800,1210,Bachupally,1,1,45.98
269,3,2,1,3500,1120,Bachupally,1,1,39.2
270,2,2,1,4322,1180,Bachupally,1,1,51.0
271,2,2,1,4193,1240,Bachupally,1,1,51.99
272,2,2,0,3600,1155,Bachupally,1,0,41.58
273,2,2,1,4173,1150,Bachupally,1,1,47.99
274,2,2,1,4166,1140,Bachupally,1,1,47.49
275,2,2,1,4199,1230,Bachupally,1,1,51.65
276,2,2,0,4482,1160,Bachupally,1,1,51.99
277,2,2,0,4199,1230,Bachupally,1,0,51.65
278,2,2,0,3428,1050,Bachupally,1,1,35.99
279,2,2,0,3428,1050,Bachupally,1,1,35.99
280,2,2,0,3333,1200,Bachupally,1,1,40.0
281,2,2,0,3428,1050,Bachupally,1,1,35.99
282,2,2,0,3700,1050,Bachupally,1,1,38.85
283,2,2,0,3428,1050,Bachupally,1,1,35.99
284,2,2,0,3428,1050,Bachupally,1,1,35.99
285,2,2,0,3366,1010,Bachupally,1,1,34.0
286,2,2,1,3856,1280,Bachupally,1,1,49.36
287,2,2,1,3750,1280,Bachupally,1,1,48.0
289,2,2,1,3684,1140,Bachupally,1,1,42.0
290,2,2,0,4230,1560,Bachupally,1,1,65.99
291,2,2,1,3839,1120,Bachupally,1,1,43.0
292,2,2,1,4573,1290,Bachupally,1,1,58.99
293,2,2,1,4393,1320,Bachupally,1,1,57.99
294,2,2,1,3833,1200,Bachupally,1,1,46.0
295,2,2,1,3310,1175,Bachupally,1,1,38.89
296,2,2,0,4454,1100,Bachupally,1,1,48.99
297,2,2,1,4716,1145,Bachupally,1,1,54.0
298,2,2,0,5847,1710,Bachupally,3,1,99.98
300,2,2,0,3800,1250,Bachupally,1,1,47.5
301,2,2,1,3719,968,Bachupally,1,0,36.0
305,2,2,0,3583,1200,Bachupally,1,1,43.0
306,2,2,1,4707,1160,Bachupally,1,0,54.6
307,2,2,1,5363,831,Bachupally,1,0,44.57
308,2,2,1,3636,1100,Bachupally,1,0,40.0
309,2,2,1,4000,1230,Bachupally,1,1,49.2
310,2,2,1,3441,1075,Bachupally,1,1,36.99
311,2,2,1,3400,1100,Bachupally,1,0,37.4
312,2,2,0,3707,1025,Bachupally,1,1,38.0
313,2,2,1,5000,1200,Bachupally,1,1,60.0
314,3,2,0,4722,1800,Bachupally,3,0,85.0
315,2,2,1,3511,1238,Bachupally,1,0,43.47
317,2,2,0,3454,1100,Bachupally,1,1,37.99
320,2,2,0,3600,1240,Bachupally,1,1,44.64
321,2,2,1,3500,1120,Bachupally,1,1,39.2
323,2,2,0,3333,1200,Bachupally,1,1,40.0
324,3,2,0,5757,1650,Bachupally,3,1,94.99
325,2,2,0,3600,1190,Bachupally,1,1,42.84
326,2,2,0,3666,1500,Bachupally,1,1,54.99
327,2,2,1,3451,1075,Bachupally,1,1,37.1
328,2,2,0,3404,1200,Bachupally,1,0,40.85
329,2,2,0,3700,1200,Bachupally,1,1,44.4
330,2,2,1,5217,1150,Bachupally,1,1,60.0
331,2,2,1,4000,1150,Bachupally,1,0,46.0
332,2,2,1,3600,1120,Bachupally,1,0,40.32
333,2,2,1,4384,1300,Bachupally,1,1,56.99
334,2,2,1,4428,1287,Bachupally,1,1,56.99
335,2,2,1,4500,1200,Bachupally,1,1,54.0
337,2,2,1,3600,1230,Bachupally,1,1,44.28
338,2,2,1,4424,1130,Bachupally,1,0,49.99
339,2,2,1,4070,1130,Bachupally,1,1,45.99
340,2,2,1,3451,1075,Bachupally,1,0,37.1
341,2,2,1,5084,1180,Bachupally,1,1,59.99
342,2,2,1,5038,1290,Bachupally,1,1,64.99
343,2,2,1,4545,1100,Bachupally,1,1,50.0
344,2,2,1,5083,1200,Bachupally,1,1,61.0
345,2,2,1,4231,1100,Bachupally,1,0,46.54
346,2,2,1,4200,1180,Bachupally,1,1,49.56
347,2,2,1,3993,1152,Bachupally,1,0,46.0
348,2,2,1,3652,1150,Bachupally,1,1,42.0
349,2,2,1,3959,1490,Bachupally,1,1,58.99
350,2,2,1,3700,1200,Bachupally,1,1,44.4
351,2,2,1,4213,1150,Bachupally,1,1,48.45
353,2,2,1,4561,1140,Bachupally,1,1,52.0
354,2,2,0,3404,1200,Bachupally,1,0,40.85
355,2,2,1,4873,1149,Bachupally,1,1,55.99
356,2,2,1,5000,1180,Bachupally,1,1,59.0
357,2,2,1,4463,1020,Bachupally,1,0,45.52
359,2,2,1,4102,1170,Bachupally,1,0,47.99
360,2,2,1,3571,1120,Bachupally,1,0,40.0
361,2,2,1,3674,1075,Bachupally,1,1,39.5
362,2,2,1,3674,1075,Bachupally,1,1,39.5
363,2,2,1,3363,1100,Bachupally,1,0,36.99
364,2,2,1,3700,1250,Bachupally,1,0,46.25
365,2,2,1,4146,1230,Bachupally,1,1,51.0
367,2,2,1,3674,1075,Bachupally,1,1,39.5
368,2,2,1,3627,1075,Bachupally,1,1,38.99
369,2,2,1,3674,1075,Bachupally,1,1,39.5
370,3,3,0,4888,1800,Bachupally,3,0,87.98
371,3,3,0,5757,1650,Bachupally,3,1,94.99
375,3,3,1,4499,2990,Bachupally,0,0,134.52
376,3,3,1,4499,2131,Bachupally,3,0,95.87
377,3,3,1,4499,2305,Bachupally,3,0,103.7
378,3,3,1,4705,1360,Bachupally,1,1,63.99
380,3,3,0,4888,1800,Bachupally,3,0,87.98
381,3,3,1,4882,2458,Bachupally,3,1,120.0
384,3,3,1,5902,1440,Bachupally,0,1,84.99
385,2,3,0,4888,1800,Bachupally,3,0,87.98
386,3,3,0,4888,1800,Bachupally,3,0,87.98
387,3,3,1,4499,2397,Bachupally,3,0,107.84
388,3,3,1,4497,2465,Bachupally,3,0,110.85
391,3,3,1,4499,2545,Bachupally,3,1,114.5
392,3,3,1,4228,1490,Bachupally,1,1,63.0
394,3,3,1,4499,2545,Bachupally,3,0,114.5
395,3,3,1,5416,2400,Bachupally,0,1,129.98
396,3,3,0,4285,1400,Bachupally,1,1,59.99
